名言,作者,类别
努力向前，默默耕耘，机会和成功，必属于最坚忍的奋斗者。,,
成功的先决条件，是不变的信心，坚强的意志。,,
穷己彻骨，尚有一分生涯，饿死不如读死，学未惬意，正需百般磨练，文通即是运通。,,
穷且益坚，一个人，如果你不逼自己一把，你根本不知道自己有多优秀。,,
人，只要有一种信念，有所追求，什么艰苦都能忍受，什么环境也都能适应。,丁玲,
穷且益坚，不坠青云之志。,王勃,
大鹏一日同风起，扶摇直上九万里。,李白,
古之立大事者，不惟有超世之才，亦必有坚忍不拔之志。,苏轼,
燕雀安知鸿鹄之志哉,陈涉,
生当作人杰，死亦为鬼雄，至今思项羽，不肯过江东。,李清照,
志不强者智不达。,墨翟,
故立志者，为学之心也为学者，立志之事也。,王阳明,
懒于思索，不愿意钻研和深入理解，自满或满足于微不足道的知识，都是智力贫乏的原因。这种贫乏用一个词来称呼，就是愚蠢高尔基,。这种贫乏用一个词来称呼高尔基,
贫不足羞，可羞是贫而无志。,吕坤,
我们以人们的目的来判断人的活动。目的伟大，活动才可以说是伟大的。契诃夫,。目的伟大契诃夫,
毫无理想而又优柔寡断是一种可悲的心理。,培根,
生活的理想，就是为了理想的生活。,张闻天,
理想的人物不仅要在物质需要的满足上，还要在精神旨趣的满足上得到表现。,黑格尔,
一个能思想的人，才真是一个力量无边的人。,巴尔扎克,
先相信你自己，然后别人才会相信你。,屠格涅夫,
希望是厄运的忠实的姐妹。,普希金,
当你的希望一个个落空，你也要坚定，要沉着,朗费罗,
命运能够愚弄常人，但却无法愚弄英雄豪杰。,,
多思则明多学则精多问则博。,,
失败乃成功之母失败次数越多，成功的机会亦越近成功往往是最后一分钟来访的客人。,,
人的理性粉碎了迷信，而人的感情也将摧毁利己主义。,海涅,
常求有利别人，不求有利自己。,谢觉哉,
一切利己的生活，都是非理性的，动物的生活。,列夫·托尔斯泰,
如烟往事俱忘却，心底无私天地宽。,陶铸,
无私是稀有的道德，因为从它身上是无利可图的。,布莱希特,
三军可夺帅也匹夫不可夺志也。,孔丘,
君子喻于义，小人喻于利。,孔丘,
不戚戚于贫贱，不汲汲于富贵。,陶渊明,
富贵不淫贫贱乐，男儿到此是豪雄。,程颢励志名言,
清贫，洁白朴素的生活，正是我们革命者能够战胜许多困难的地方,方志敏,
志当存高远。,诸葛亮,
老骥伏枥，志在千里烈士暮年，壮心不已。。,曹不坠青云志,
谋事在人，成事在天。,,
燕雀戏藩柴，安识鸿鹄游。,曹植,
科学决不是一种自私自利的享乐。有幸能够致力于科学研究的人，首先应该拿自己的学识为人类服务。马克思,。有幸能够致力于科学研究的人马克思,
一个人对人民的服务不一定要站在大会上讲演或是作什麽惊天动地的大事业，随时随地，点点滴滴地把自己知道的想到的告诉人家，无形中就是替国家播种垦植。,傅雷,
强调守法，讲究法治，逐步把一些具体问题的处理提高到修改过去法律规章的改革，大胆革除一些人民十分痛恨的恶法劣规。,胡绩伟,
我有我的人格良心，不是钱能买的。我的音乐，要献给祖国，献给劳动人民大众，为挽救民族危机服务。冼星海,。我的音乐冼星海,
顾客后还有顾客，服务的开始才是销售的开始。,,
我的人生哲学是工作，我要提示大自然的奥秘，并以此为人类造福。我们在世的短暂一生中，我不知道还有什么比这种服务更好的了。爱迪生,。我们在世的短暂一生中爱迪生,
